Eye Ratio,Nose And Shoulder Angle,Y Angle,X Angle,Eye Angle,Label
1.3314524003,43.677895243,89.268073341,177.91611958,178.6226348,0
1.4459836898,43.878585891,88.643657402,177.79214745,179.81215564,0
1.5951995182,44.048436597,88.042085588,177.85767632,179.34214642,0
2.1894932322,44.079103769,86.221640914,177.69196926,179.95897071,0
3.3376692243,44.041730797,84.361375097,177.51122597,179.64407429,0
3.8184318358,43.650282575,83.884747154,177.53009778,167.81967031,0
13.191417906,42.956742305,79.152466851,177.08702055,20.051102096,0
5.6249586191,42.512408172,77.371772332,177.03507891,6.3975434633,0
4.839277884,42.907692698,77.227811482,176.74316719,26.478176665,0
3.3378680566,43.05432532,75.048297064,176.61580894,11.177066795,0
3.2307019008,43.607223372,74.529861881,176.48745915,9.0636532282,0
2.7329062876,43.878627599,73.279922527,176.56448144,3.183797062,0
2.3559494998,44.674773626,72.077520416,176.63183383,2.2327683124,0
2.1822680119,46.114061817,70.944593278,176.99373953,8.0119233646,0
2.1019826112,46.884286501,70.164588496,177.16106285,11.426390161,0
1.9444182869,48.240378939,69.268118102,177.44008472,16.980374943,0
1.9619281239,48.632072286,69.375047388,177.72173442,17.907944677,0
1.8819498193,50.283914519,68.599687989,177.7296641,17.494026509,0
1.8992909392,51.293707401,68.2575249,177.91170026,16.896833157,0
1.8320400086,52.439033699,67.877676961,177.96833857,18.303616645,0
1.8276090084,54.008141264,67.133315991,178.19619503,20.014171858,0
1.8071956932,54.542767515,66.561244418,178.21185096,18.754655714,0
1.7795831401,54.909945171,65.882242778,178.23749036,17.166733875,0
1.7189753812,55.618426,65.17879984,178.28957238,16.532818334,0
1.6858921835,56.267391398,64.699870761,178.17857644,16.198181138,0
1.6515168272,57.291383171,63.917656443,178.21215269,17.34218396,0
1.6453365413,57.467447265,63.588289827,178.19139403,17.820295986,0
1.6783283071,58.036254684,63.002038536,177.85924634,16.949570286,0
1.6765487272,57.944006954,62.775490766,177.67885934,16.307160399,0
1.7062654595,57.918811662,63.022812862,177.70814308,18.104011648,0
1.7244117673,57.789459962,63.115905082,177.68852089,19.184881236,0
1.7652196362,57.781319239,63.19229021,177.59674402,19.397811402,0
1.7788303843,57.821544427,63.170020554,177.58862284,19.524897881,0
1.7736595499,57.921102279,62.925320109,177.76292896,19.440991845,0
1.7936734277,57.720576151,62.841133539,177.72248258,18.951013515,0
1.7867609943,57.638557482,62.790236674,177.77307221,18.821622209,0
1.7807035545,57.653338491,62.897828852,177.69020964,18.610194248,0
1.7987517522,57.612930833,63.247858383,177.62319991,18.575167074,0
1.8418397446,58.535943694,64.705665703,177.74553303,22.115614634,0
2.0064950167,58.700210013,65.763088566,177.77964238,25.442424121,0
2.3337242681,59.071145503,67.621151802,177.8783723,34.416798699,0
2.5712757256,59.296944177,69.184579714,177.77225415,42.699416256,0
2.7143585747,60.110339306,72.107429135,177.96235772,59.86331078,0
2.8872255311,59.703657388,72.988239436,178.56559106,66.17215822,0
2.7306633956,60.139010502,74.666283037,179.25401361,74.900979173,0
2.5605022947,60.535734503,75.620436492,179.40974283,78.758573284,0
1.9861356752,61.878363915,79.185159429,179.40892423,90.43206518,0
1.4774731546,62.874531468,83.354382115,179.52877546,95.015285488,0
1.0586537326,61.244395702,88.809952967,179.51350497,103.87549048,0
0.93063570057,61.148684982,91.317106979,179.47834752,102.3649533,0
0.81612864052,59.621887477,93.611411613,179.40391717,103.29426035,0
0.71124292667,59.199093971,95.952252932,179.15876715,98.325654598,0
0.51206922691,56.38975468,104.53060244,178.88449465,62.757254131,0
0.51011941149,54.920884955,107.28658861,178.3975157,48.350878699,0
0.47813482505,54.57373024,107.65995002,178.06326208,45.939570913,0
0.46160845685,53.932256419,108.33014477,177.98666613,41.350781459,0
0.43085465432,53.35497288,109.80520467,178.14826652,36.960066874,0
0.4358557569,53.605858205,110.79248725,178.08194154,31.966791864,0
0.43469935415,53.394011103,111.35039269,177.89097377,29.644044345,0
0.49538682269,55.06137419,113.1360761,177.88450364,25.111436223,0
0.49919247168,55.782885645,113.46308111,177.81854575,26.882098158,0
0.50844098209,56.968022709,113.87357992,177.72662661,29.269328174,0
0.50564710794,56.600810445,114.24825546,177.73849456,28.316320645,0
0.50377033682,56.664345946,114.24278752,177.76176279,28.911633922,0
0.51052023582,56.600772496,114.58592328,177.83771686,26.612008543,0
0.5083943095,56.575762213,114.62564714,178.0345218,26.66146156,0
0.51706388572,57.312480688,114.8038443,177.98685546,25.723479543,0
0.48948288978,59.44093952,112.29220641,178.29059471,37.379393367,0
